探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.00,7959,7959000.00,2794,2842,272,130,1,85,28.00,A8
9,0.00,2238,inf,675,741,96,25,0,20,-28.00,A7

D3E3F2C5F6E2D6C2B4D7C7B6A5B7C3B3D2B5A7E1A3G1F1E6D1C6E7E8H1F5F3B2F4F7A2G7H7F8C4G5A6B8A4B1G8D8C8G2G6G3
8,0.00,1247,inf,271,326,27,18,0,212,35.30,A8
8,0.00,837,inf,48,224,16,5,0,278,-34.79,H6
10,0.00,1617,inf,372,674,42,42,0,299,38.55,A8
9,0.00,630,inf,202,241,10,9,0,3,-38.00,H6
10,0.00,1698,inf,605,726,42,47,0,22,38.00,A8
9,0.00,630,inf,202,241,10,9,0,3,-38.00,H6

F5F4E3D2C4F6G4D3G7F7F3G3E6C6E7B5G6E8D6F8B7C5A4A8B3H7G5H6C3H5G2A5D7B6E1C8E2C2H3F2G8B4F1G1B1H4D8H2B2A1
8,0.00,2449,inf,367,425,77,5,0,540,-17.89,H1
8,0.00,1089,inf,73,305,23,9,0,388,21.62,H8
