探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.49,2832811,5793069.53,6135,49819,13712,103,18,546457,13.82,A2
12,1.87,10127959,5413126.14,8717,322016,45412,3208,287,2873889,-11.59,F2
12,1.53,8349133,5471253.60,5081,215997,28079,1412,159,1825292,14.86,C1

C4E3F5G6F3E6F7D7F2B4G5G4B3E2D3E8E7C2B5A4D2C5B2F1F4D1H7F6H3H4
8,0.16,917803,5808879.75,3505,14818,5630,57,4,195476,3.72,C3
8,0.12,724795,5940942.62,3470,14388,6002,72,7,207411,-1.92,D6
10,1.35,7530582,5574079.94,4247,158344,45359,837,174,1605601,2.88,F8
10,0.58,3188982,5498244.83,10454,104694,43783,394,99,1070502,-0.34,D8
12,8.51,46326494,5443771.33,9576,1232473,264514,44478,8232,10403609,0.66,C3
12,7.11,37838402,5324852.52,28970,1537984,385343,68474,12968,14772097,-0.13,D6

D3E3F2C5F6E6B6C3B2D2E1D1E7A1C4F3G2B4A5G7C2C1F5D8B3C6B7A4E8E2
8,0.02,98121,5771823.53,1069,3442,507,20,0,37052,-9.14,C8
8,0.05,270268,5750382.98,314,4595,338,12,0,44361,11.52,A6
10,0.17,870250,5274242.42,1515,36942,5898,65,4,373559,-11.75,C8
10,0.47,2606231,5556995.74,2101,51749,7062,104,8,454943,13.20,F1
12,0.68,3739126,5498714.71,905,195420,15715,1222,76,1689173,-12.15,C8
12,3.77,20651739,5480822.45,12314,494702,61975,7378,722,3836613,13.51,F1

F5D6C4D3C5B6C3B3B5F6D7C7E3E7E2G5C2B2A3B4D8B1F3F2F8G3G4F1D1F4
8,0.15,883994,5893293.33,1092,9976,2231,31,0,120629,26.66,A2
8,0.02,130397,6519850.00,1203,5025,1847,33,2,57491,-28.81,D2
10,1.13,6830718,6044883.19,3810,106304,19125,380,44,1063327,27.81,A2
10,0.12,788778,6628386.55,3385,41190,9478,76,10,366783,-31.69,D2
12,6.74,39228010,5816727.46,8202,830738,127288,20288,2161,6909274,28.89,A2
12,0.58,3695178,6382000.00,5778,218781,39590,1567,173,1730800,-32.62,A4

D3C3E6D6C4D2C5B5E7F4A5F7G3E8F6D7E2G4H4G5C7F3C2G2H2B3E3D1G7C6
8,0.10,647169,6283194.17,3223,12056,4109,44,0,150421,-2.85,H1
8,0.11,730776,6524785.71,3125,14185,5600,32,5,189551,1.06,B4
10,0.59,3608055,6136147.96,6513,97087,27945,384,52,947644,-2.25,B6
10,0.29,1697105,5933933.57,3981,41151,8229,88,6,380924,3.39,H3
12,4.43,23639587,5341072.53,20132,815827,201271,19772,3798,6825925,-2.28,B6
12,2.86,14511300,5080987.39,22116,465732,119017,6435,1384,3779707,4.59,B4

C4E3F2C3D3E2B2B3C2E6B4B1C1A1A3A5F7C6F5D2A4B5C5A2B7G5D6E7B6G7
8,0.04,262526,5966500.00,1742,5021,1412,28,0,58977,-9.57,D1
8,0.04,222193,5847184.21,884,6075,1744,37,1,67919,9.16,E1
10,0.30,1748531,5828436.67,4072,43795,12415,143,17,419356,-11.60,D1
10,0.22,1241024,5540285.71,1741,47483,12576,125,10,428491,11.97,E1
12,2.35,12839336,5472862.75,9368,419266,88405,5340,898,3335319,-12.55,D1
12,1.71,8977755,5265545.45,8379,404703,116070,5004,1163,3177349,12.83,F4

E6D6C4F6E7C3G6F8B2E3C6A1F3G5C2C5D3F2F1H6E2D2E8E1H4G2G3G4B6A7F5B5H1D7A6D1D8A5H7B7A8B3B1B8C8H2F4G7A4C7
8,0.00,6876,6876000.00,156,1175,463,13,0,2696,12.08,F7
8,0.00,2409,inf,27,639,124,6,0,995,-7.73,H8
